ORD,Name,Municipio,State,NOM,InstAG,LocationInsecure,Year,TimeSeries,TimeSeriesAvg,TimeAvg,ExactReport,HP,Yield,Period,Cite,NOM,Yield,Yield1960_T,Yield1960_L,Yield1960_S,Yield1960_E,Yield1990,Yield2007
75,Haz. San Antonio Palula,Papalotla de Xicohtencatl,Tlaxcala,"PAPALOTLA DE XICOHTENCATL, TLAXCALA",,FALSE,1766,FALSE,FALSE,FALSE,TRUE,142,1640.10,C18 Sample,"Ouweneel (1996: 113-4) Haz. Palula, 1766","PAPALOTLA DE XICOHTENCATL, TLAXCALA",1640.10,782.4806772,666.6666667,1043.75,484.8726115,2118.9,802.0546887
76,Haz. Sotoluca,Apan,Hidalgo,"APAN, HIDALGO",,FALSE,1791,FALSE,FALSE,FALSE,TRUE,290,3349.21,C18 Sample,"Ouweneel (1996: 113-4) Haz. Sotoluca (BOM), 1791","APAN, HIDALGO",3349.21,749.0862863,671.1185309,681.8181818,757.5811001,1070,1602.4993
77,Haz. Santa Maria Texomulco,Tlahuapan,Puebla,"TLAHUAPAN, PUEBLA",,FALSE,,FALSE,FALSE,FALSE,TRUE,16,185.05,C18 Sample,Ouweneel (1996: 113-4) Haz. Texomulco c.1720,"TLAHUAPAN, PUEBLA",185.05,980.471722,869.8884758,993.3110368,998.3902125,1486.5,2558.842627
78,Haz. San Juan Xaltipan,Papalotla de Xicohtencatl,Tlaxcala,"PAPALOTLA DE XICOHTENCATL, TLAXCALA",,FALSE,,FALSE,FALSE,FALSE,TRUE,62,716.26,C18 Sample,"Ouweneel (1996: 113-4) Haz. Xaltipan, c.1720 (Tlax)","PAPALOTLA DE XICOHTENCATL, TLAXCALA",716.26,782.4806772,666.6666667,1043.75,484.8726115,2118.9,802.0546887
79,Haz. San Jose Acolman1,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,,FALSE,FALSE,FALSE,TRUE,75,866.39,C18 Sample,"Ouweneel (1996: 113-4) Haz. Acolman, c.1760","ACOLMAN, MEXICO",866.39,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
80,Haz. San Jose Acolman2,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,,FALSE,FALSE,FALSE,TRUE,93,1074.25,C18 Sample,"Ouweneel (1996: 113-4) Haz. Acolman, c.1790","ACOLMAN, MEXICO",1074.25,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
81,Haz. Ozumba,San Jose Chiapa,Puebla,"SAN JOSE CHIAPA, PUEBLA",,TRUE,,FALSE,FALSE,FALSE,TRUE,78,901.03,C18 Sample,"Ouweneel (1996: 113-4) Haz. Ozumba, c.1760","SAN JOSE CHIAPA, PUEBLA",901.03,807.2289157,726.5861027,831.4606742,926.2048193,1325.2,2719.294005
82,Haz. La Noria,Puebla,Puebla,"PUEBLA, PUEBLA",,TRUE,,FALSE,FALSE,FALSE,TRUE,40,462.21,C18 Sample,"Ouweneel (1996: 113-4) Haz. La Noria, c.1760","PUEBLA, PUEBLA",462.21,780.8975834,788.0952381,837.3860182,761.8459003,914.6,1469.66863
83,Haz. San Diego Pinal,Ziltlaltepec de Trinidad Sánchez Santos,Tlaxcala,"ZILTLALTEPEC DE TRINIDAD SANCHEZ SANTOS, TLAXCALA",,FALSE,,FALSE,FALSE,FALSE,TRUE,90,1039.61,C18 Sample,"Ouweneel (1996: 113-4) Haz. Pinal, c.1760","ZILTLALTEPEC DE TRINIDAD SANCHEZ SANTOS, TLAXCALA",1039.61,646.1289015,697.2477064,793.1034483,595.2518819,1247.3,2091.67575
84,Haz. Nuestra Senora de Guadalupe Acozac,Ixtapaluca,Mexico,"IXTAPALUCA, MEXICO",,FALSE,,FALSE,FALSE,FALSE,TRUE,81,935.67,C18 Sample,"Ouweneel (1996: 113-4) Haz. Acozac, c.1760","IXTAPALUCA, MEXICO",935.67,870.9874656,1043.478261,1003.322259,834.9697885,1296.7,2467.650509
85,Haz. San Martin Notario,Huamantla,Tlaxcala,"HUAMANTLA, TLAXCALA",,TRUE,,FALSE,FALSE,FALSE,TRUE,99,1143.54,C18 Sample,"Ouweneel (1996: 113-4) Haz. San Martín, c.1760","HUAMANTLA, TLAXCALA",1143.54,712.7886323,758.1623134,897.7777778,677.7827182,1065.1,2315.039907
86,Haz. Santa Ana Aragon,Gustavo A. Madero,Distrito Federal,"GUSTAVO A. MADERO, DISTRITO FEDERAL",,,,FALSE,FALSE,FALSE,TRUE,38,439.11,C18 Sample,"Ouweneel (1996: 113-4) Haz. Aragón, c.1760","GUSTAVO A. MADERO, DISTRITO FEDERAL",439.11,1045.3,916.7,2689.2,912.7,485.9,
87,Haz. Los Reyes,Zacatelco,Tlaxcala,"ZACATELCO, TLAXCALA",,TRUE,,FALSE,FALSE,FALSE,TRUE,40,462.21,C18 Sample,"Ouweneel (1996: 113-4) Haz. Los Reyes, c.1760","ZACATELCO, TLAXCALA",462.21,668.9683184,,865.5282818,548.1967213,2089.5,2598.050145
88,Tlalmanalco,Tlalmanalco,Mexico,"TLALMANALCO, MEXICO",,FALSE,1765,FALSE,FALSE,FALSE,TRUE,52,600.78,C18 Sample,"Ouweneel (1996: 113-4) Tlalmanalco, 1765","TLALMANALCO, MEXICO",600.78,950.5068575,1059.322034,1199.623352,734.8484848,1544.5,2347.431531
89,Haz. San Juan Bautista Chichimapan,Chiautempan,Tlaxcala,"CHIAUTEMPAN, TLAXCALA",,FALSE,1799,FALSE,FALSE,FALSE,TRUE,39,450.66,C18 Sample,"Ouweneel (1996: 113-4) Haz. Chichimapan, c.1799","CHIAUTEMPAN, TLAXCALA",450.66,792.1052632,585.1851852,915.4135338,614.6095718,1330.1,2185.753991
90,Haz. Bautista,,,,,TRUE,,FALSE,FALSE,FALSE,TRUE,105,1212.83,C18 Sample,"Ouweneel (1996: 113-4) Haz. Bautista, c.1790",,1212.83,,,,,,
91,Haz. San Nicolas de los Pilares,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,,FALSE,FALSE,FALSE,TRUE,35,404.47,C18 Sample,"Ouweneel (1996: 113-4) Haz. Pilares, c.1790","ACOLMAN, MEXICO",404.47,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
92,Haz. San Juan Bautista Nativitas,Nativitas,Tlaxcala,"NATIVITAS, TLAXCALA",,FALSE,1799,FALSE,FALSE,FALSE,TRUE,105,1212.83,C18 Sample,"Trautmann (1981:182) Haz. San Juan Bautista Nativitas, Tlax, 1799","NATIVITAS, TLAXCALA",1212.83,818.9415042,638.0952381,1013.346044,743.0213465,1672.1,2839.27655
