Location,State,Region,Size,NOM,Yield,Series,,,,,
ALMOLOYA DEL RIO,Mexico,Toluca,Total,"ALMOLOYA DEL RIO, MEXICO",1200.514139,AG Census 1960,,,,,
ALMOLOYA DEL RIO,Mexico,Toluca,Small,"ALMOLOYA DEL RIO, MEXICO",1200.514139,AG Census 1960,,,,,
ALMOLOYA DEL RIO,Mexico,Toluca,Large,"ALMOLOYA DEL RIO, MEXICO",,AG Census 1960,,,,,
ALMOLOYA DEL RIO,Mexico,Toluca,Ejido,"ALMOLOYA DEL RIO, MEXICO",,AG Census 1960,,,,,
AMECAMECA,Mexico,BOM,Ejido,"AMECAMECA, MEXICO",799.6604414,AG Census 1960,,,,,
AMECAMECA,Mexico,BOM,Large,"AMECAMECA, MEXICO",906.0773481,AG Census 1960,,,,,
AMECAMECA,Mexico,BOM,Total,"AMECAMECA, MEXICO",1101.177955,AG Census 1960,,,,,
AMECAMECA,Mexico,BOM,Small,"AMECAMECA, MEXICO",1300.262074,AG Census 1960,,,,,
APAXCO,Mexico,BOM,Ejido,"APAXCO, MEXICO",726.2569832,AG Census 1960,,,,,
APAXCO,Mexico,BOM,Total,"APAXCO, MEXICO",834.2245989,AG Census 1960,,,,,
APAXCO,Mexico,BOM,Large,"APAXCO, MEXICO",896,AG Census 1960,,,,,
APAXCO,Mexico,BOM,Small,"APAXCO, MEXICO",950.9433962,AG Census 1960,,,,,
ATENCO,Mexico,BOM,Large,"ATENCO, MEXICO",625,AG Census 1960,,,,,
ATENCO,Mexico,BOM,Ejido,"ATENCO, MEXICO",819.7879859,AG Census 1960,,,,,
ATENCO,Mexico,BOM,Total,"ATENCO, MEXICO",822.7009114,AG Census 1960,,,,,
ATENCO,Mexico,BOM,Small,"ATENCO, MEXICO",1046.511628,AG Census 1960,,,,,
ATIZAPAN,Mexico,Toluca,Large,"ATIZAPAN, MEXICO",854.9222798,AG Census 1960,,,,,
ATIZAPAN,Mexico,Toluca,Total,"ATIZAPAN, MEXICO",987.3684211,AG Census 1960,,,,,
ATIZAPAN,Mexico,Toluca,Small,"ATIZAPAN, MEXICO",1037.914692,AG Census 1960,,,,,
ATIZAPAN,Mexico,Toluca,Ejido,"ATIZAPAN, MEXICO",1197.183099,AG Census 1960,,,,,
ATIZAPAN DE ZARAGOZA,Mexico,BOM,Ejido,"ATIZAPAN DE ZARAGOZA, MEXICO",757.3696145,AG Census 1960,,,,,
ATIZAPAN DE ZARAGOZA,Mexico,BOM,Total,"ATIZAPAN DE ZARAGOZA, MEXICO",892.7038627,AG Census 1960,,,,,
ATIZAPAN DE ZARAGOZA,Mexico,BOM,Small,"ATIZAPAN DE ZARAGOZA, MEXICO",1072.289157,AG Census 1960,,,,,
ATIZAPAN DE ZARAGOZA,Mexico,BOM,Large,"ATIZAPAN DE ZARAGOZA, MEXICO",1148.571429,AG Census 1960,,,,,
ATLACOMULCO,Mexico,Toluca,Large,"ATLACOMULCO, MEXICO",612.446959,AG Census 1960,,,,,
ATLACOMULCO,Mexico,Toluca,Ejido,"ATLACOMULCO, MEXICO",648.766328,AG Census 1960,,,,,
ATLACOMULCO,Mexico,Toluca,Total,"ATLACOMULCO, MEXICO",763.3073848,AG Census 1960,,,,,
ATLACOMULCO,Mexico,Toluca,Small,"ATLACOMULCO, MEXICO",1090.697674,AG Census 1960,,,,,
ATLAUTLA,Mexico,BOM,Ejido,"ATLAUTLA, MEXICO",652.173913,AG Census 1960,,,,,
ATLAUTLA,Mexico,BOM,Large,"ATLAUTLA, MEXICO",894.53125,AG Census 1960,,,,,
ATLAUTLA,Mexico,BOM,Total,"ATLAUTLA, MEXICO",973.4375,AG Census 1960,,,,,
ATLAUTLA,Mexico,BOM,Small,"ATLAUTLA, MEXICO",1036.30363,AG Census 1960,,,,,
AXAPUSCO,Mexico,BOM,Large,"AXAPUSCO, MEXICO",869.5652174,AG Census 1960,,,,,
AXAPUSCO,Mexico,BOM,Ejido,"AXAPUSCO, MEXICO",877.6725304,AG Census 1960,,,,,
AXAPUSCO,Mexico,BOM,Total,"AXAPUSCO, MEXICO",884.3764931,AG Census 1960,,,,,
AXAPUSCO,Mexico,BOM,Small,"AXAPUSCO, MEXICO",1036.458333,AG Census 1960,,,,,
AYAPANGO,Mexico,BOM,Ejido,"AYAPANGO, MEXICO",850.9433962,AG Census 1960,,,,,
AYAPANGO,Mexico,BOM,Large,"AYAPANGO, MEXICO",936.1702128,AG Census 1960,,,,,
AYAPANGO,Mexico,BOM,Total,"AYAPANGO, MEXICO",962.492438,AG Census 1960,,,,,
AYAPANGO,Mexico,BOM,Small,"AYAPANGO, MEXICO",1036.036036,AG Census 1960,,,,,
CALIMAYA,Mexico,Toluca,Ejido,"CALIMAYA, MEXICO",810.3666245,AG Census 1960,,,,,
CALIMAYA,Mexico,Toluca,Large,"CALIMAYA, MEXICO",941.7786308,AG Census 1960,,,,,
CALIMAYA,Mexico,Toluca,Total,"CALIMAYA, MEXICO",1019.816336,AG Census 1960,,,,,
